Topic 0: 1533-0.0035, 1535-0.0034, 1493-0.0034, 1452-0.0034, 1540-0.0034, 1543-0.0034, 1530-0.0033, 1528-0.0033, 1482-0.0033, 1473-0.0033, 
Topic 1: 1063-0.002, 1260-0.0019, 1314-0.0019, 1356-0.0018, 1358-0.0018, 1322-0.0018, 1165-0.0018, 1177-0.0018, 1278-0.0017, 1245-0.0017, 
Topic 2: 1555-0.0038, 1550-0.0038, 1547-0.0032, 1552-0.0032, 1549-0.003, 1438-0.0029, 1546-0.0029, 1548-0.0028, 1481-0.0028, 1541-0.0027, 
Topic 3: 1248-0.002, 1332-0.0019, 1141-0.0019, 1340-0.0019, 1351-0.0019, 1152-0.0018, 1243-0.0018, 1341-0.0018, 1215-0.0017, 1335-0.0017, 
Topic 4: 1406-0.0024, 1384-0.0022, 1265-0.0021, 1389-0.0021, 1260-0.002, 1394-0.002, 1387-0.0019, 1246-0.0019, 1361-0.0019, 1205-0.0019, 
Topic 5: 1337-0.0022, 1310-0.0019, 1283-0.0018, 1365-0.0018, 1325-0.0018, 1360-0.0018, 1274-0.0018, 1333-0.0018, 1348-0.0017, 1187-0.0017, 
Topic 6: 1295-0.0022, 1344-0.002, 1253-0.002, 1239-0.002, 1352-0.0019, 1282-0.0019, 1307-0.0019, 1163-0.0019, 1341-0.0019, 1119-0.0019, 
Topic 7: 1962-0.0019, 1965-0.0019, 1959-0.0019, 1956-0.0019, 1952-0.0019, 1950-0.0019, 1958-0.0019, 1954-0.0019, 1963-0.0019, 1960-0.0019, 
Topic 8: 1426-0.0022, 1495-0.0022, 1439-0.0021, 1413-0.002, 1419-0.0019, 1456-0.0019, 1475-0.0018, 1496-0.0018, 1538-0.0018, 1388-0.0018, 
Topic 9: 1191-0.0022, 1287-0.0021, 1361-0.0021, 1303-0.0021, 1297-0.002, 1290-0.0019, 1304-0.0018, 1345-0.0018, 1234-0.0018, 1261-0.0018, 

